Institution,Year of Study,GPA,Loadshedding Frequency,Loadshedding Duration,Loadshedding Impact,Student ID
University of Cape Town,4,2.137367708194066,6,6.304661951046325,None,55433
Stellenbosch University,2,3.911333387227589,5,0.4899550073560608,Moderate,28988
University of Johannesburg,4,3.092122632626941,1,2.462164423796238,Moderate,81080
University of KwaZulu-Natal,1,0.0,4,7.756865935569144,Severe,79415
University of Pretoria,1,2.136559234266261,3,0.08580635903102163,None,91607
University of Cape Town,4,1.558813283342594,5,6.659326453907904,None,59629
Stellenbosch University,2,2.829724499795955,1,20.13821355187071,Moderate,22988
University of Johannesburg,1,0.3210834422434234,2,4.352817036288473,Severe,23303
University of KwaZulu-Natal,4,2.525480513450286,6,15.60328449086679,Moderate,13328
University of Pretoria,3,3.948151463479777,0,7.722580300744846,Moderate,84218
University of Cape Town,4,2.384813837791587,0,16.87801672170438,Moderate,84150
Stellenbosch University,4,0.5097680520760313,5,14.60032824387278,Severe,30819
University of Johannesburg,2,2.246323975013585,4,4.011465532936474,None,39809
University of KwaZulu-Natal,1,1.345244423998427,4,4.36765153395037,None,10413
University of Pretoria,1,0.07540356498760756,5,1.173811710235427,Severe,15358
University of Cape Town,1,1.047141024593793,5,7.970934041382733,Severe,12116
Stellenbosch University,2,0.4805773761642715,2,7.901194520788234,Severe,86938
University of Johannesburg,4,0.8896666936489284,2,5.52135806339632,Severe,79719
University of KwaZulu-Natal,4,0.6812668117023117,3,7.694232063520467,Severe,19923
University of Pretoria,4,3.071933872830919,4,5.883451783046462,Moderate,19511
University of Cape Town,2,0.4994847671132535,1,11.34341811791743,Severe,85234
Stellenbosch University,4,2.764140001382102,2,11.02605392643071,Moderate,92016
University of Johannesburg,2,0.8038615571145349,0,19.96305831766819,Severe,26421
University of KwaZulu-Natal,1,1.955583176551907,2,16.46903388448405,None,85887
University of Pretoria,3,3.123597785707053,2,10.59301305528444,Moderate,99294
University of Cape Town,4,0.4812165086944714,2,17.16956851598552,Severe,20706
Stellenbosch University,2,2.717557232344431,6,18.75883268739913,Moderate,67817
University of Johannesburg,3,0.5087342486661164,1,21.7024657885857,Severe,52486
University of KwaZulu-Natal,1,1.57705965577981,0,10.51530506660732,None,37533
University of Pretoria,1,1.373493008033881,0,18.607309341016,None,78623
University of Cape Town,2,0.1046063898649847,1,20.1750403630471,Severe,93552
Stellenbosch University,2,0.1024446704364482,2,14.95636423151961,Severe,24770
University of Johannesburg,3,3.052491429915434,4,23.58270511449317,Moderate,59314
University of KwaZulu-Natal,4,2.43819816547919,5,18.20931881549953,Moderate,74386
University of Pretoria,4,0.0,6,4.616850220297025,Severe,38886
University of Cape Town,2,0.1808207953670369,3,6.160112864341165,Severe,30887
Stellenbosch University,2,0.6277733951799573,5,5.15526827178928,Severe,47151
University of Johannesburg,1,3.37515512432824,0,4.824587309549502,Moderate,94439
University of KwaZulu-Natal,2,1.533017176274529,0,4.898648942051004,None,43031
University of Pretoria,3,1.008589593015411,3,0.3348216318740338,Severe,29629
University of Cape Town,3,0.4066846031558863,5,15.61029538632855,Severe,19093
Stellenbosch University,3,3.679896801858244,4,7.206189168218719,Moderate,36140
University of Johannesburg,3,3.031794114274927,0,1.884257912476088,Moderate,79629
University of KwaZulu-Natal,1,3.519283545235837,0,21.14423271315054,Moderate,67535
University of Pretoria,1,1.930264765809745,1,7.018215041584614,None,17679
University of Cape Town,1,0.8377394862679837,6,0.5293545278190583,Severe,70996
Stellenbosch University,2,2.086749641989499,0,12.0583293826239,None,27765
University of Johannesburg,4,0.0798071764935091,6,22.45422923235625,Severe,30524
University of KwaZulu-Natal,2,1.946151233609045,2,7.760284696487596,None,15676
University of Pretoria,2,0.3519959862133855,4,14.62168033215145,Severe,40898
University of Cape Town,4,0.8997693735692811,6,13.99454569296632,Severe,70168
Stellenbosch University,2,1.969569307081423,4,11.27009318094219,None,69955
University of Johannesburg,1,2.447287716400647,6,3.787115281103151,Moderate,82461
University of KwaZulu-Natal,1,1.019240486733692,2,16.01130353338541,Severe,93387
University of Pretoria,4,2.930466314621885,4,21.56796687284905,Moderate,98961
University of Cape Town,2,2.292788482222213,6,1.792810235833335,None,94277
Stellenbosch University,4,3.115007736410405,5,2.96312923461809,Moderate,67112
University of Johannesburg,2,1.37387561352344,1,1.526727462893934,None,43095
University of KwaZulu-Natal,2,0.2092208495874086,1,4.833293942625306,Severe,26625
University of Pretoria,2,1.889556349477951,4,13.25704930290892,None,80448
University of Cape Town,3,0.7585547428175805,6,14.83319458128109,Severe,37791
Stellenbosch University,2,1.07593356052254,6,10.18077695924786,Severe,45747
University of Johannesburg,4,2.300960757886848,5,16.80924067797933,None,58829
University of KwaZulu-Natal,1,3.150573008514534,2,9.4397044713423,Moderate,15302
University of Pretoria,1,2.621456623168291,0,19.52691254464661,Moderate,59463
University of Cape Town,1,2.599165719222485,1,8.73279520719105,Moderate,38555
Stellenbosch University,4,0.0,6,14.6583056223002,Severe,67296
University of Johannesburg,3,0.0,4,18.55108469571856,Severe,89352
University of KwaZulu-Natal,3,0.6577419859310454,1,21.78128436403255,Severe,69196
University of Pretoria,3,0.0,4,16.73181651276023,Severe,89543
University of Cape Town,3,3.114318039737901,3,16.97667555492378,Moderate,79873
Stellenbosch University,4,2.765682293301228,6,1.196373078302533,Moderate,88611
University of Johannesburg,1,0.6884442260424324,2,7.819168551394107,Severe,62289
University of KwaZulu-Natal,2,1.411148606914556,2,0.3473148608885221,None,15826
University of Pretoria,3,2.664895662690347,5,16.91430627376193,Moderate,86293
University of Cape Town,3,0.8129822308043935,4,4.871462012119693,Severe,57167
Stellenbosch University,3,3.852057859256064,2,0.2134766476223069,Moderate,51908
University of Johannesburg,1,0.0,6,17.32657825892728,Severe,16152
University of KwaZulu-Natal,1,0.8797163901214942,1,8.806815558963859,Severe,26733
University of Pretoria,4,3.729974738246233,1,10.95642215334076,Moderate,50411
University of Cape Town,1,3.767230810843766,2,2.768053042248694,Moderate,41966
Stellenbosch University,4,3.632964694901694,0,21.99913460245927,Moderate,43193
University of Johannesburg,1,3.102008126239403,6,0.7597221141670731,Moderate,85121
University of KwaZulu-Natal,4,0.4325829882937375,5,6.815262621331009,Severe,84349
University of Pretoria,2,1.962187680027342,1,9.82075636842295,None,48234
University of Cape Town,1,0.0,5,3.109848173327346,Severe,32152
Stellenbosch University,1,0.0,6,19.42969411551041,Severe,74111
University of Johannesburg,1,3.096995209710077,3,6.831268888176493,Moderate,75513
University of KwaZulu-Natal,4,0.5421004362045603,4,8.505132179899118,Severe,29254
University of Pretoria,1,0.1825689517068295,2,22.3265190418897,Severe,71962
University of Cape Town,2,0.0,3,21.14143140747964,Severe,12489
Stellenbosch University,2,3.291608254432207,0,23.47083273128089,Moderate,29922
University of Johannesburg,2,0.1833480507161043,2,1.37873852287984,Severe,63780
University of KwaZulu-Natal,1,1.159487214354572,2,6.3573398041871,None,41077
University of Pretoria,1,1.101835838218639,2,8.43637363556585,None,67677
University of Cape Town,1,2.906146804011697,1,3.350585285262292,Moderate,81715
Stellenbosch University,2,0.3809325817537503,5,12.1210649839035,Severe,12394
University of Johannesburg,2,1.44460392189702,3,3.20437508170871,None,47497
University of KwaZulu-Natal,3,0.8677940998958789,3,6.165520235009041,Severe,68511
University of Pretoria,1,3.718729479672493,1,3.819737775215935,Moderate,36550
University of Cape Town,3,1.654363084820686,4,15.00459321543786,None,75043
