method,layer,fan_in,fan_out,weight_mean,weight_std,zero_fraction,activation_mean,activation_variance
default,hidden_1,9,128,-0.008984705433249474,0.1936330646276474,0.0,0.18999287486076355,0.09026234596967697
default,hidden_2,128,64,0.0002988751220982522,0.05094052106142044,0.0,0.08289516717195511,0.01711229979991913
default,hidden_3,64,32,-0.0018661310896277428,0.07196683436632156,0.0,0.023887187242507935,0.002053116913884878
xavier_uniform,hidden_1,9,128,-0.004865837749093771,0.1701456755399704,0.0,0.1735251098871231,0.07881586253643036
xavier_uniform,hidden_2,128,64,-0.0012377941748127341,0.14412584900856018,0.0,0.19382047653198242,0.11281967908143997
xavier_uniform,hidden_3,64,32,-0.0002539686392992735,0.20409265160560608,0.0,0.21131137013435364,0.14212413132190704
xavier_normal,hidden_1,9,128,0.002818221691995859,0.1756114959716797,0.0,0.16136576235294342,0.07823443412780762
xavier_normal,hidden_2,128,64,-6.893416866660118e-06,0.14557123184204102,0.0,0.1906442791223526,0.09965498745441437
xavier_normal,hidden_3,64,32,-0.00019632198382169008,0.20225748419761658,0.0,0.22269156575202942,0.1385117769241333
kaiming_uniform,hidden_1,9,128,-0.013423987664282322,0.4694020450115204,0.0,0.4787253141403198,0.5998762845993042
kaiming_uniform,hidden_2,128,64,-0.0010719611309468746,0.1248166412115097,0.0,0.46307823061943054,0.6440125107765198
kaiming_uniform,hidden_3,64,32,-0.0002199441660195589,0.17674943804740906,0.0,0.4372282326221466,0.6084690093994141
kaiming_normal,hidden_1,9,128,0.007774980738759041,0.4844812750816345,0.0,0.4451797902584076,0.5954509973526001
kaiming_normal,hidden_2,128,64,-5.969777703285217e-06,0.1260683834552765,0.0,0.4554896056652069,0.5688639879226685
kaiming_normal,hidden_3,64,32,-0.000170020735822618,0.17516010999679565,0.0,0.4607751965522766,0.5930035710334778
lecun_normal,hidden_1,9,128,0.0054977405816316605,0.34258002042770386,0.0,0.31478965282440186,0.29772552847862244
lecun_normal,hidden_2,128,64,-4.221132257953286e-06,0.08914380520582199,0.0,0.22774480283260345,0.14221599698066711
lecun_normal,hidden_3,64,32,-0.00012022227747365832,0.12385690212249756,0.0,0.1629086434841156,0.07412544637918472
orthogonal,hidden_1,9,128,0.0023072061594575644,0.1249786987900734,0.0,0.11780673265457153,0.0426555797457695
orthogonal,hidden_2,128,64,-0.001323208212852478,0.12499299645423889,0.0,0.10201231390237808,0.036279745399951935
orthogonal,hidden_3,64,32,-0.0035146749578416348,0.17674174904823303,0.0,0.09203334152698517,0.028866294771432877
sparse,hidden_1,9,128,-0.0014517083764076233,0.20792393386363983,0.8046875,0.1371157020330429,0.13578973710536957
sparse,hidden_2,128,64,-0.0006246436387300491,0.05553673207759857,0.8125,0.07729422301054001,0.023710867390036583
sparse,hidden_3,64,32,0.0012577020097523928,0.07392729818820953,0.8125,0.03475571423768997,0.004044156521558762
truncated_xavier_normal,hidden_1,9,128,-0.0035547513980418444,0.15202608704566956,0.0,0.15229496359825134,0.0644979253411293
truncated_xavier_normal,hidden_2,128,64,-0.0009132299455814064,0.12678499519824982,0.0,0.15131163597106934,0.07002847641706467
truncated_xavier_normal,hidden_3,64,32,0.0003356232773512602,0.1798866242170334,0.0,0.14417463541030884,0.06871115416288376
nguyen_widrow,hidden_1,9,128,-0.011735792271792889,0.3998750150203705,0.0,0.41278234124183655,0.43493393063545227
nguyen_widrow,hidden_2,128,64,-0.0005498168175108731,0.0639127865433693,0.0,0.2006842941045761,0.12032812088727951
nguyen_widrow,hidden_3,64,32,1.8229125998914242e-05,0.0923689529299736,0.0,0.09957237541675568,0.031265079975128174
lsuv,hidden_1,9,128,0.011171161197125912,0.6051290035247803,0.0,0.5704033374786377,0.9999993443489075
lsuv,hidden_2,128,64,-0.001434776233509183,0.13553191721439362,0.0,0.5355752110481262,0.9999999403953552
lsuv,hidden_3,64,32,-0.003940233029425144,0.1981416493654251,0.0,0.5416885614395142,1.0
