method,epochs_completed,best_epoch,best_val_loss,best_val_accuracy,best_val_macro_f1,training_seconds,checkpoint_path,history_path
default,100,100,0.09344869224561171,0.9705984254999711,0.8404478871274058,2803.788622000022,checkpoints_weight_initialization_ddos\default_best.pt,results_weight_initialization_ddos\default_history.csv
xavier_uniform,100,97,0.09320251259863797,0.9697226339191192,0.8602347552978107,2616.77134029998,checkpoints_weight_initialization_ddos\xavier_uniform_best.pt,results_weight_initialization_ddos\xavier_uniform_history.csv
xavier_normal,100,100,0.09253725185329213,0.9714068484976806,0.8637534598614014,2781.444748399954,checkpoints_weight_initialization_ddos\xavier_normal_best.pt,results_weight_initialization_ddos\xavier_normal_history.csv
kaiming_uniform,100,97,0.09625982999127035,0.9750928724039035,0.9044113701439579,3016.703415600001,checkpoints_weight_initialization_ddos\kaiming_uniform_best.pt,results_weight_initialization_ddos\kaiming_uniform_history.csv
kaiming_normal,100,100,0.0945168964478324,0.9735915154081574,0.8988308687384233,2937.538984599989,checkpoints_weight_initialization_ddos\kaiming_normal_best.pt,results_weight_initialization_ddos\kaiming_normal_history.csv
lecun_normal,100,100,0.0940326845187222,0.9696552653359768,0.8950452020883545,2937.144021200016,checkpoints_weight_initialization_ddos\lecun_normal_best.pt,results_weight_initialization_ddos\lecun_normal_history.csv
orthogonal,61,46,0.104483481324839,0.9658056320135507,0.8773738263339212,1615.2074013000238,checkpoints_weight_initialization_ddos\orthogonal_best.pt,results_weight_initialization_ddos\orthogonal_history.csv
sparse,100,92,0.09741032975765357,0.975025503820761,0.9053955486185318,2766.454499100044,checkpoints_weight_initialization_ddos\sparse_best.pt,results_weight_initialization_ddos\sparse_history.csv
truncated_xavier_normal,100,100,0.09104930509550886,0.9714357207475988,0.9011355189845974,2516.710219300003,checkpoints_weight_initialization_ddos\truncated_xavier_normal_best.pt,results_weight_initialization_ddos\truncated_xavier_normal_history.csv
nguyen_widrow,100,92,0.0951731806975931,0.97013646950128,0.8921784918550903,2783.0146332999575,checkpoints_weight_initialization_ddos\nguyen_widrow_best.pt,results_weight_initialization_ddos\nguyen_widrow_history.csv
lsuv,100,100,0.09521021613764391,0.9703097030007892,0.893767586352913,2658.0197264999733,checkpoints_weight_initialization_ddos\lsuv_best.pt,results_weight_initialization_ddos\lsuv_history.csv
